"datetime","groupDesiredCapacity"
"2022-06-02T23:05:00Z",1
"2022-06-02T23:06:00Z",1
"2022-06-02T23:07:00Z",1
"2022-06-02T23:08:00Z",3
"2022-06-02T23:09:00Z",3
"2022-06-02T23:10:00Z",3
"2022-06-02T23:11:00Z",3
"2022-06-02T23:12:00Z",3
"2022-06-02T23:13:00Z",3
"2022-06-02T23:14:00Z",3
"2022-06-02T23:15:00Z",3
"2022-06-02T23:16:00Z",3
"2022-06-02T23:17:00Z",3
"2022-06-02T23:18:00Z",3
"2022-06-02T23:19:00Z",3
"2022-06-02T23:20:00Z",3
"2022-06-02T23:21:00Z",3
"2022-06-02T23:22:00Z",3
"2022-06-02T23:23:00Z",3
"2022-06-02T23:24:00Z",3
"2022-06-02T23:25:00Z",3
"2022-06-02T23:26:00Z",3
"2022-06-02T23:27:00Z",3
"2022-06-02T23:28:00Z",3
"2022-06-02T23:29:00Z",3
"2022-06-02T23:30:00Z",3
"2022-06-02T23:31:00Z",3
"2022-06-02T23:32:00Z",3
"2022-06-02T23:33:00Z",3
"2022-06-02T23:34:00Z",3
"2022-06-02T23:35:00Z",3
"2022-06-02T23:36:00Z",3
"2022-06-02T23:37:00Z",3
"2022-06-02T23:38:00Z",3
"2022-06-02T23:39:00Z",3
"2022-06-02T23:40:00Z",3
"2022-06-02T23:41:00Z",3
"2022-06-02T23:42:00Z",3
"2022-06-02T23:43:00Z",3
"2022-06-02T23:44:00Z",3
"2022-06-02T23:45:00Z",3
"2022-06-02T23:46:00Z",3
"2022-06-02T23:47:00Z",3
"2022-06-02T23:48:00Z",3
"2022-06-02T23:49:00Z",3
"2022-06-02T23:50:00Z",3
"2022-06-02T23:51:00Z",3
"2022-06-02T23:52:00Z",3
"2022-06-02T23:53:00Z",3
"2022-06-02T23:54:00Z",3
"2022-06-02T23:55:00Z",3
"2022-06-02T23:56:00Z",3
"2022-06-02T23:57:00Z",3
"2022-06-02T23:58:00Z",3
"2022-06-02T23:59:00Z",3
"2022-06-03T00:00:00Z",3
"2022-06-03T00:01:00Z",0
"2022-06-03T00:02:00Z",1
"2022-06-03T00:03:00Z",1
"2022-06-03T00:04:00Z",1
"2022-06-03T00:05:00Z",1
"2022-06-03T00:06:00Z",1
"2022-06-03T00:07:00Z",1
"2022-06-03T00:08:00Z",1
"2022-06-03T00:09:00Z",2
"2022-06-03T00:10:00Z",2
"2022-06-03T00:11:00Z",2
"2022-06-03T00:12:00Z",2
"2022-06-03T00:13:00Z",2
"2022-06-03T00:14:00Z",2
"2022-06-03T00:15:00Z",3
"2022-06-03T00:16:00Z",3
"2022-06-03T00:17:00Z",3
"2022-06-03T00:18:00Z",3
"2022-06-03T00:19:00Z",1
"2022-06-03T00:20:00Z",1
"2022-06-03T00:21:00Z",1
"2022-06-03T00:22:00Z",1
"2022-06-03T00:23:00Z",1
"2022-06-03T00:24:00Z",1
"2022-06-03T00:25:00Z",1
"2022-06-03T00:26:00Z",1
"2022-06-03T00:27:00Z",2
"2022-06-03T00:28:00Z",2
"2022-06-03T00:29:00Z",2
"2022-06-03T00:30:00Z",2
"2022-06-03T00:31:00Z",2
"2022-06-03T00:32:00Z",2
"2022-06-03T00:33:00Z",3
"2022-06-03T00:34:00Z",3
"2022-06-03T00:35:00Z",3
"2022-06-03T00:36:00Z",1
"2022-06-03T00:37:00Z",1
"2022-06-03T00:38:00Z",1
"2022-06-03T00:40:00Z",1
"2022-06-03T00:41:00Z",1
"2022-06-03T00:42:00Z",1
"2022-06-03T00:43:00Z",1
"2022-06-03T00:44:00Z",1
"2022-06-03T00:45:00Z",2
"2022-06-03T00:46:00Z",2
"2022-06-03T00:47:00Z",2
"2022-06-03T00:48:00Z",2
"2022-06-03T00:49:00Z",2
"2022-06-03T00:50:00Z",2
"2022-06-03T00:51:00Z",3
"2022-06-03T00:52:00Z",3
"2022-06-03T00:53:00Z",3
"2022-06-03T00:54:00Z",3
"2022-06-03T00:55:00Z",3
"2022-06-03T00:56:00Z",3
