"datetime","groupInServiceCapacity"
"2022-03-27T07:07:00Z",1
"2022-03-27T07:08:00Z",1
"2022-03-27T07:09:00Z",1
"2022-03-27T07:10:00Z",1
"2022-03-27T07:11:00Z",1
"2022-03-27T07:12:00Z",3
"2022-03-27T07:13:00Z",3
"2022-03-27T07:14:00Z",3
"2022-03-27T07:15:00Z",3
"2022-03-27T07:16:00Z",3
"2022-03-27T07:17:00Z",3
"2022-03-27T07:18:00Z",3
"2022-03-27T07:19:00Z",3
"2022-03-27T07:20:00Z",3
"2022-03-27T07:21:00Z",3
"2022-03-27T07:22:00Z",3
"2022-03-27T07:23:00Z",3
"2022-03-27T07:24:00Z",3
"2022-03-27T07:25:00Z",3
"2022-03-27T07:26:00Z",3
"2022-03-27T07:27:00Z",3
"2022-03-27T07:28:00Z",3
"2022-03-27T07:29:00Z",3
"2022-03-27T07:30:00Z",3
"2022-03-27T07:31:00Z",3
"2022-03-27T07:32:00Z",3
"2022-03-27T07:33:00Z",3
"2022-03-27T07:34:00Z",3
"2022-03-27T07:35:00Z",3
"2022-03-27T07:36:00Z",3
"2022-03-27T07:37:00Z",3
"2022-03-27T07:38:00Z",3
"2022-03-27T07:39:00Z",3
"2022-03-27T07:40:00Z",3
"2022-03-27T07:41:00Z",3
"2022-03-27T07:42:00Z",3
"2022-03-27T07:43:00Z",3
"2022-03-27T07:44:00Z",3
"2022-03-27T07:45:00Z",3
"2022-03-27T07:46:00Z",3
"2022-03-27T07:47:00Z",3
"2022-03-27T07:48:00Z",3
"2022-03-27T07:49:00Z",3
"2022-03-27T07:50:00Z",3
"2022-03-27T07:51:00Z",3
"2022-03-27T07:52:00Z",3
"2022-03-27T07:53:00Z",3
"2022-03-27T07:54:00Z",3
"2022-03-27T07:55:00Z",3
"2022-03-27T07:56:00Z",3
"2022-03-27T07:57:00Z",3
"2022-03-27T07:58:00Z",3
"2022-03-27T07:59:00Z",3
"2022-03-27T08:00:00Z",3
"2022-03-27T08:01:00Z",3
"2022-03-27T08:02:00Z",3
"2022-03-27T08:03:00Z",3
"2022-03-27T08:04:00Z",3
"2022-03-27T08:05:00Z",3
"2022-03-27T08:06:00Z",3
"2022-03-27T08:07:00Z",3
"2022-03-27T08:08:00Z",3
"2022-03-27T08:09:00Z",3
"2022-03-27T08:10:00Z",3
"2022-03-27T08:11:00Z",3
"2022-03-27T08:12:00Z",3
"2022-03-27T08:13:00Z",0
"2022-03-27T08:14:00Z",1
"2022-03-27T08:15:00Z",1
"2022-03-27T08:16:00Z",1
"2022-03-27T08:17:00Z",1
"2022-03-27T08:18:00Z",1
"2022-03-27T08:19:00Z",1
"2022-03-27T08:20:00Z",1
"2022-03-27T08:21:00Z",1
"2022-03-27T08:22:00Z",2
"2022-03-27T08:23:00Z",2
"2022-03-27T08:24:00Z",2
"2022-03-27T08:25:00Z",2
"2022-03-27T08:26:00Z",2
"2022-03-27T08:27:00Z",2
"2022-03-27T08:28:00Z",3
"2022-03-27T08:29:00Z",3
"2022-03-27T08:30:00Z",3
"2022-03-27T08:31:00Z",1
"2022-03-27T08:32:00Z",1
"2022-03-27T08:33:00Z",1
"2022-03-27T08:34:00Z",1
"2022-03-27T08:35:00Z",2
"2022-03-27T08:36:00Z",2
"2022-03-27T08:37:00Z",2
"2022-03-27T08:38:00Z",2
"2022-03-27T08:39:00Z",2
"2022-03-27T08:40:00Z",2
"2022-03-27T08:41:00Z",3
"2022-03-27T08:42:00Z",3
"2022-03-27T08:43:00Z",3
"2022-03-27T08:44:00Z",3
"2022-03-27T08:45:00Z",3
"2022-03-27T08:46:00Z",3
"2022-03-27T08:47:00Z",3
"2022-03-27T08:48:00Z",1
"2022-03-27T08:49:00Z",1
"2022-03-27T08:50:00Z",1
"2022-03-27T08:51:00Z",1
"2022-03-27T08:52:00Z",1
"2022-03-27T08:53:00Z",1
"2022-03-27T08:54:00Z",1
"2022-03-27T08:55:00Z",1
"2022-03-27T08:56:00Z",2
"2022-03-27T08:57:00Z",2
"2022-03-27T08:58:00Z",2
"2022-03-27T08:59:00Z",2
"2022-03-27T09:00:00Z",2
"2022-03-27T09:01:00Z",2
"2022-03-27T09:02:00Z",3
"2022-03-27T09:03:00Z",3
"2022-03-27T09:04:00Z",3
"2022-03-27T09:05:00Z",3
"2022-03-27T09:06:00Z",3
"2022-03-27T09:07:00Z",3
"2022-03-27T09:08:00Z",3
